Estimaciones intercensales de población
    Evolución de la población de España entre los Censos de 1981 y 1991

Evolución de la población de España entre los Censos de 1981 y 1991   por fecha de referencia; comunidad autónoma; sexo; edad y año.
Unidades:personas


,Total,,,Andalucía,,,Aragón,,,Asturias (Principado de),,,Balears (Illes),,,Canarias,,,Cantabria,,,Castilla y León,,,Castilla -La Mancha,,,Cataluña,,,Comunidad Valenciana,,,Extremadura,,,Galicia,,,Madrid (Com. de),,,Murcia (Región de),,,Navarra (C. Foral de),,,País Vasco,,,Rioja (La),,,Ceuta y Melilla,,,
,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,
1 de enero,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
   Total,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
      1988,"3.8675049E7","1.8965239E7","1.970981E7","6817534.0","3358897.0","3458637.0","1197184.0","591326.0","605858.0","1113267.0","539101.0","574166.0","680597.0","334579.0","346018.0","1454764.0","723723.0","731041.0","526854.0","258083.0","268771.0","2586327.0","1281781.0","1304546.0","1666913.0","827556.0","839357.0","6031283.0","2951754.0","3079529.0","3799331.0","1862188.0","1937143.0","1077433.0","533168.0","544265.0","2771271.0","1340345.0","1430926.0","4886777.0","2356108.0","2530669.0","1022734.0","503270.0","519464.0","518314.0","257453.0","260861.0","2139082.0","1054956.0","1084126.0","262467.0","130414.0","132053.0","122917.0","60537.0","62380.0",
      1989,"3.8756648E7","1.899836E7","1.9758288E7","6857710.0","3377763.0","3479947.0","1195023.0","589952.0","605071.0","1107132.0","535542.0","571590.0","694374.0","341676.0","352698.0","1472980.0","732826.0","740154.0","527246.0","258075.0","269171.0","2575762.0","1276047.0","1299715.0","1663129.0","825531.0","837598.0","6043033.0","2956709.0","3086324.0","3818278.0","1870829.0","1947449.0","1072761.0","530777.0","541984.0","2757522.0","1332439.0","1425083.0","4909542.0","2366867.0","2542675.0","1029903.0","506776.0","523127.0","518579.0","257494.0","261085.0","2127013.0","1047644.0","1079369.0","263064.0","130590.0","132474.0","123597.0","60823.0","62774.0",
      1990,"3.8826297E7","1.9024575E7","1.9801722E7","6896678.0","3395814.0","3500864.0","1192383.0","588547.0","603836.0","1101087.0","531914.0","569173.0","705700.0","347285.0","358415.0","1487057.0","739435.0","747622.0","527538.0","258045.0","269493.0","2561818.0","1268473.0","1293345.0","1659033.0","823181.0","835852.0","6054382.0","2961616.0","3092766.0","3839122.0","1880374.0","1958748.0","1066274.0","527375.0","538899.0","2744800.0","1325211.0","1419589.0","4931541.0","2376782.0","2554759.0","1038380.0","511064.0","527316.0","519106.0","257764.0","261342.0","2114894.0","1040504.0","1074390.0","262941.0","130393.0","132548.0","123563.0","60798.0","62765.0",
      1991,"3.8874573E7","1.9038032E7","1.9836541E7","6937884.0","3414937.0","3522947.0","1189497.0","586939.0","602558.0","1094958.0","528306.0","566652.0","709200.0","348669.0","360531.0","1492943.0","741138.0","751805.0","527558.0","257936.0","269622.0","2547139.0","1260196.0","1286943.0","1658573.0","822853.0","835720.0","6060217.0","2963380.0","3096837.0","3857243.0","1888334.0","1968909.0","1061970.0","525034.0","536936.0","2733854.0","1318923.0","1414931.0","4946904.0","2383403.0","2563501.0","1045048.0","514339.0","530709.0","519394.0","257755.0","261639.0","2104629.0","1034299.0","1070330.0","263475.0","130510.0","132965.0","124087.0","61081.0","63006.0",
   18 años,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
      1981,"642395.0","325905.0","316490.0","120562.0","61287.0","59275.0","18949.0","9603.0","9346.0","17664.0","8957.0","8707.0","9612.0","4913.0","4699.0","26438.0","13634.0","12804.0","8442.0","4304.0","4138.0","45842.0","23491.0","22351.0","30100.0","15414.0","14686.0","92361.0","46860.0","45501.0","60288.0","30254.0","30034.0","20688.0","10507.0","10181.0","43723.0","22288.0","21435.0","78497.0","39415.0","39082.0","16925.0","8493.0","8432.0","8585.0","4389.0","4196.0","37120.0","18628.0","18492.0","4213.0","2240.0","1973.0","2386.0","1228.0","1158.0",
      1982,"649328.0","331322.0","318006.0","122947.0","62793.0","60154.0","18855.0","9656.0","9199.0","17331.0","8878.0","8453.0","9910.0","5090.0","4820.0","27189.0","13906.0","13283.0","8404.0","4259.0","4145.0","45235.0","23183.0","22052.0","30005.0","15471.0","14534.0","94338.0","48372.0","45966.0","61190.0","30981.0","30209.0","20572.0","10437.0","10135.0","43021.0","21956.0","21065.0","80183.0","40734.0","39449.0","17455.0","8814.0","8641.0","8581.0","4391.0","4190.0","37666.0","19062.0","18604.0","4076.0","2140.0","1936.0","2370.0","1199.0","1171.0",
      1983,"657165.0","335647.0","321518.0","125694.0","64374.0","61320.0","18876.0","9687.0","9189.0","17195.0","8804.0","8391.0","10228.0","5246.0","4982.0","27888.0","14250.0","13638.0","8492.0","4316.0","4176.0","44623.0","22757.0","21866.0","29951.0","15426.0","14525.0","96138.0","49374.0","46764.0","62234.0","31590.0","30644.0","20485.0","10369.0","10116.0","42847.0","21805.0","21042.0","81586.0","41618.0","39968.0","17928.0","9091.0","8837.0","8572.0","4377.0","4195.0","37979.0","19266.0","18713.0","3988.0","2051.0","1937.0","2461.0","1246.0","1215.0",
      1984,"661758.0","338197.0","323561.0","127632.0","65321.0","62311.0","18719.0","9587.0","9132.0","17059.0","8754.0","8305.0","10452.0","5396.0","5056.0","28305.0","14478.0","13827.0","8421.0","4288.0","4133.0","44113.0","22547.0","21566.0","29639.0","15309.0","14330.0","97325.0","49956.0","47369.0","63026.0","32034.0","30992.0","20063.0","10177.0","9886.0","42760.0","21786.0","20974.0","82773.0","42123.0","40650.0","18461.0","9429.0","9032.0","8576.0","4383.0","4193.0","37977.0","19352.0","18625.0","3968.0","2028.0","1940.0","2489.0","1249.0","1240.0",
      1985,"659804.0","337134.0","322670.0","127463.0","65173.0","62290.0","18429.0","9436.0","8993.0","16697.0","8523.0","8174.0","10543.0","5422.0","5121.0","28305.0","14429.0","13876.0","8309.0","4257.0","4052.0","43099.0","22008.0","21091.0","29165.0","15044.0","14121.0","97898.0","50234.0","47664.0","63143.0","32178.0","30965.0","19542.0","9893.0","9649.0","42813.0","21861.0","20952.0","83310.0","42375.0","40935.0","18643.0","9557.0","9086.0","8496.0","4330.0","4166.0","37590.0","19204.0","18386.0","3904.0","1976.0","1928.0","2455.0","1234.0","1221.0",
      1986,"654156.0","334506.0","319650.0","126124.0","64460.0","61664.0","18027.0","9247.0","8780.0","16418.0","8366.0","8052.0","10554.0","5414.0","5140.0","28335.0","14424.0","13911.0","8281.0","4240.0","4041.0","42001.0","21529.0","20472.0","28378.0","14614.0","13764.0","97389.0","49996.0","47393.0","62859.0","32074.0","30785.0","18877.0","9594.0","9283.0","42822.0","21790.0","21032.0","83653.0","42716.0","40937.0","18694.0","9620.0","9074.0","8458.0","4309.0","4149.0","37007.0","18940.0","18067.0","3875.0","1959.0","1916.0","2404.0","1214.0","1190.0",
      1987,"653075.0","334089.0","318986.0","125693.0","64297.0","61396.0","17887.0","9215.0","8672.0","16260.0","8312.0","7948.0","10704.0","5489.0","5215.0","28537.0","14564.0","13973.0","8293.0","4287.0","4006.0","41153.0","21120.0","20033.0","27851.0","14324.0","13527.0","97865.0","50150.0","47715.0","63149.0","32289.0","30860.0","18387.0","9362.0","9025.0","42766.0","21782.0","20984.0","84480.0","43077.0","41403.0","18734.0","9608.0","9126.0","8433.0","4290.0","4143.0","36634.0","18757.0","17877.0","3872.0","1963.0","1909.0","2377.0","1203.0","1174.0",
