Estimaciones intercensales de población
    Evolución de la población de España entre los Censos de 1991 y 2001

Evolución de la población de España entre los Censos de 1991 y 2001 por fecha de referencia; sexo; comunidad autónoma; edad y año
Unidades:personas


,Total,,,Andalucía,,,Aragón,,,Asturias (Principado de),,,Balears (Illes),,,Canarias,,,Cantabria,,,Castilla y León,,,Castilla -La Mancha,,,Cataluña,,,Comunidad Valenciana,,,Extremadura,,,Galicia,,,Madrid (Com. De),,,Murcia (Región de),,,Navarra (C. Foral de),,,País Vasco,,,Rioja (La),,,Ceuta,,,Melilla,,,
,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,Ambos Sexos,Varones,Mujeres,
1 de enero,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
   Total,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
      1998,"3.9639388E7","1.9408565E7","2.0230823E7","7175845.0","3533425.0","3642420.0","1195794.0","589858.0","605936.0","1071754.0","514944.0","556810.0","777893.0","383372.0","394521.0","1613379.0","800482.0","812897.0","528714.0","257939.0","270775.0","2486500.0","1227444.0","1259056.0","1712976.0","851293.0","861683.0","6153660.0","3009930.0","3143730.0","3942551.0","1931534.0","2011017.0","1060657.0","525353.0","535304.0","2694580.0","1297083.0","1397497.0","5095698.0","2451556.0","2644142.0","1120122.0","554446.0","565676.0","539234.0","268142.0","271092.0","2072017.0","1014118.0","1057899.0","264106.0","130830.0","133276.0","70605.0","35243.0","35362.0","63303.0","31573.0","31730.0",
      1999,"3.9802827E7","1.9487061E7","2.0315766E7","7202974.0","3546063.0","3656911.0","1195496.0","589836.0","605660.0","1067081.0","512225.0","554856.0","798961.0","394592.0","404369.0","1643006.0","815794.0","827212.0","529568.0","258286.0","271282.0","2475112.0","1221162.0","1253950.0","1719480.0","854568.0","864912.0","6182921.0","3024113.0","3158808.0","3966639.0","1943632.0","2023007.0","1058687.0","524396.0","534291.0","2689042.0","1293474.0","1395568.0","5128470.0","2466330.0","2662140.0","1132821.0","561150.0","571671.0","542559.0","269873.0","272686.0","2069723.0","1012624.0","1057099.0","265274.0","131469.0","133805.0","70846.0","35454.0","35392.0","64167.0","32020.0","32147.0",
      2000,"4.0049708E7","1.9606767E7","2.0442941E7","7241668.0","3564098.0","3677570.0","1196027.0","590181.0","605846.0","1063156.0","510049.0","553107.0","822337.0","407054.0","415283.0","1678799.0","834084.0","844715.0","531072.0","258839.0","272233.0","2464303.0","1215089.0","1249214.0","1728782.0","859380.0","869402.0","6216683.0","3040613.0","3176070.0","4009994.0","1965362.0","2044632.0","1057277.0","523987.0","533290.0","2684551.0","1290266.0","1394285.0","5185931.0","2492738.0","2693193.0","1148150.0","569636.0","578514.0","546692.0","272042.0","274650.0","2070279.0","1012335.0","1057944.0","267911.0","132929.0","134982.0","71110.0","35626.0","35484.0","64986.0","32459.0","32527.0",
      2001,"4.0476723E7","1.9830965E7","2.0645758E7","7303603.0","3596586.0","3707017.0","1198318.0","591516.0","606802.0","1063195.0","509784.0","553411.0","849986.0","421820.0","428166.0","1734159.0","863921.0","870238.0","532958.0","259696.0","273262.0","2458661.0","1212011.0","1246650.0","1740501.0","865677.0","874824.0","6285640.0","3076936.0","3208704.0","4073263.0","1999326.0","2073937.0","1059901.0","525836.0","534065.0","2697288.0","1296663.0","1400625.0","5274180.0","2536377.0","2737803.0","1169047.0","581663.0","587384.0","551417.0","274449.0","276968.0","2076441.0","1015233.0","1061208.0","270991.0","134733.0","136258.0","71336.0","35817.0","35519.0","65838.0","32921.0","32917.0",
   18 años,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
      1991,"664029.0","339771.0","324258.0","126663.0","64713.0","61950.0","17808.0","9156.0","8652.0","16799.0","8539.0","8260.0","11649.0","6006.0","5643.0","29819.0","15323.0","14496.0","8354.0","4295.0","4059.0","39153.0","20048.0","19105.0","26044.0","13349.0","12695.0","102229.0","52494.0","49735.0","65596.0","33411.0","32185.0","17342.0","8901.0","8441.0","43289.0","22119.0","21170.0","89524.0","45725.0","43799.0","19152.0","9764.0","9388.0","8353.0","4273.0","4080.0","36098.0","18520.0","17578.0","3947.0","2017.0","1930.0","1242.0","643.0","599.0","968.0","475.0","493.0",
      1992,"667450.0","341428.0","326022.0","127121.0","64911.0","62210.0","17865.0","9175.0","8690.0","17004.0","8654.0","8350.0","11906.0","6128.0","5778.0","29624.0","15199.0","14425.0","8406.0","4299.0","4107.0","38726.0","19774.0","18952.0","25932.0","13302.0","12630.0","103450.0","53199.0","50251.0","65905.0","33575.0","32330.0","17124.0","8781.0","8343.0","43668.0","22233.0","21435.0","90547.0","46280.0","44267.0","19410.0","9910.0","9500.0","8435.0","4313.0","4122.0","36077.0","18521.0","17556.0","4004.0","2038.0","1966.0","1250.0","638.0","612.0","996.0","498.0","498.0",
      1993,"669508.0","342173.0","327335.0","127587.0","65074.0","62513.0","17963.0","9252.0","8711.0","17072.0","8705.0","8367.0","12028.0","6203.0","5825.0","29202.0","14938.0","14264.0","8543.0","4349.0","4194.0","38392.0","19541.0","18851.0","26096.0","13348.0","12748.0","103991.0","53433.0","50558.0","66309.0","33797.0","32512.0","16898.0","8661.0","8237.0","44058.0","22339.0","21719.0","90989.0","46491.0","44498.0","19699.0","10081.0","9618.0","8506.0","4368.0","4138.0","35895.0","18409.0","17486.0","4030.0","2048.0","1982.0","1254.0","644.0","610.0","996.0","492.0","504.0",
      1994,"665314.0","340098.0","325216.0","127131.0","64878.0","62253.0","17806.0","9158.0","8648.0","17004.0","8677.0","8327.0","12021.0","6157.0","5864.0","28467.0","14512.0","13955.0","8598.0","4385.0","4213.0","37898.0","19289.0","18609.0","25894.0","13284.0","12610.0","103315.0","53065.0","50250.0","66427.0","33891.0","32536.0","16603.0","8493.0","8110.0","43982.0","22319.0","21663.0","90223.0","46095.0","44128.0","19837.0","10218.0","9619.0","8519.0","4372.0","4147.0","35278.0","18093.0","17185.0","4044.0","2055.0","1989.0","1261.0","644.0","617.0","1006.0","513.0","493.0",
      1995,"660587.0","337867.0","322720.0","126888.0","64862.0","62026.0","17672.0","9096.0","8576.0","16858.0","8624.0","8234.0","12036.0","6147.0","5889.0","27876.0","14184.0","13692.0","8647.0","4405.0","4242.0","37543.0","19158.0","18385.0","25901.0","13329.0","12572.0","101994.0","52420.0","49574.0","66451.0","33949.0","32502.0","16429.0","8372.0","8057.0","44080.0","22343.0","21737.0","88797.0","45301.0","43496.0","20011.0","10330.0","9681.0","8480.0","4380.0","4100.0","34529.0","17695.0","16834.0","4068.0","2071.0","1997.0","1286.0","650.0","636.0","1041.0","551.0","490.0",
