Resultados por comunidades autónomas
    Evolución de la población de España entre los Censos de 2001 y 2011

Población residente por fecha; sexo y edad
Unidades:Personas


,Total Nacional,,,Andalucía ,,,Aragón ,,,Asturias; Principado de ,,,Balears; Illes ,,,Canarias ,,,Cantabria ,,,Castilla y León ,,,Castilla - La Mancha ,,,Cataluña ,,,Comunitat Valenciana ,,,Extremadura ,,,Galicia ,,,Madrid; Comunidad de ,,,Murcia; Región de ,,,Navarra; Comunidad Foral de ,,,País Vasco ,,,Rioja; La ,,,Ceuta,,,Melilla,,,
,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,Ambos sexos,Hombres,Mujeres,
Total,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
   1 de Enero de 2010,"4.6486621E7","2.2982272E7","2.3504349E7","8276017.0","4103593.0","4172424.0","1344184.0","672650.0","671534.0","1077103.0","517332.0","559771.0","1083683.0","545138.0","538545.0","2045168.0","1021998.0","1023171.0","588518.0","288423.0","300095.0","2547408.0","1264145.0","1283263.0","2084470.0","1053522.0","1030949.0","7463471.0","3704036.0","3759435.0","4989631.0","2482885.0","2506746.0","1099605.0","546601.0","553004.0","2772457.0","1339618.0","1432839.0","6373532.0","3082941.0","3290591.0","1453545.0","735569.0","717976.0","633017.0","316529.0","316488.0","2179532.0","1067188.0","1112344.0","319939.0","160628.0","159311.0","79294.0","40539.0","38756.0","76047.0","38939.0","37108.0",
   1 de Enero de 2011,"4.6667175E7","2.3049476E7","2.3617698E7","8332087.0","4131060.0","4201028.0","1344396.0","671336.0","673060.0","1075877.0","516497.0","559380.0","1091656.0","548586.0","543069.0","2064876.0","1031244.0","1033632.0","590874.0","289406.0","301468.0","2545286.0","1262594.0","1282692.0","2099057.0","1059509.0","1039549.0","7493252.0","3711637.0","3781615.0","4999211.0","2484814.0","2514396.0","1102300.0","548312.0","553988.0","2773415.0","1340811.0","1432604.0","6394239.0","3087772.0","3306467.0","1459076.0","737295.0","721782.0","637099.0","318116.0","318983.0","2183134.0","1067391.0","1115743.0","320850.0","160694.0","160156.0","81627.0","41801.0","39826.0","78863.0","40601.0","38261.0",
   1 de Enero de 2012,"4.6818216E7","2.3099009E7","2.3719207E7","8377809.0","4152488.0","4225322.0","1343790.0","669633.0","674156.0","1074304.0","515503.0","558801.0","1100715.0","552593.0","548122.0","2085928.0","1040946.0","1044981.0","592387.0","290133.0","302254.0","2537654.0","1258276.0","1279379.0","2105936.0","1062653.0","1043283.0","7514992.0","3713214.0","3801779.0","5009647.0","2487660.0","2521987.0","1104343.0","549524.0","554819.0","2771916.0","1340856.0","1431060.0","6425573.0","3097459.0","3328114.0","1461928.0","737239.0","724690.0","640023.0","319090.0","320933.0","2184696.0","1066155.0","1118541.0","320951.0","160318.0","160633.0","83837.0","42960.0","40877.0","81786.0","42310.0","39476.0",
18 años,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
   1 de Enero de 2002,"508931.0","260712.0","248219.0","107145.0","54872.0","52273.0","12764.0","6604.0","6160.0","11921.0","6125.0","5796.0","9998.0","5204.0","4794.0","23158.0","11781.0","11376.0","6565.0","3380.0","3185.0","28106.0","14422.0","13684.0","22105.0","11493.0","10612.0","71720.0","36552.0","35168.0","51298.0","26232.0","25066.0","14428.0","7525.0","6903.0","33226.0","16895.0","16331.0","65687.0","33435.0","32253.0","16889.0","8779.0","8110.0","6148.0","3211.0","2937.0","22581.0","11586.0","10995.0","3114.0","1573.0","1540.0","1044.0","506.0","538.0","1034.0","538.0","496.0",
   1 de Enero de 2003,"500142.0","256895.0","243247.0","104733.0","53571.0","51162.0","12856.0","6736.0","6120.0","11221.0","5738.0","5483.0","10312.0","5276.0","5036.0","22680.0","11533.0","11147.0","6276.0","3216.0","3060.0","27670.0","14210.0","13460.0","22387.0","11690.0","10697.0","70496.0","36227.0","34270.0","51412.0","26524.0","24888.0","14154.0","7324.0","6831.0","31451.0","16080.0","15371.0","65467.0","33370.0","32097.0","16387.0","8473.0","7914.0","6057.0","3175.0","2883.0","21516.0","11134.0","10382.0","3056.0","1589.0","1467.0","1003.0","499.0","504.0","1005.0","531.0","474.0",
   1 de Enero de 2004,"488242.0","250606.0","237637.0","101427.0","52006.0","49421.0","12591.0","6557.0","6034.0","10857.0","5635.0","5223.0","10256.0","5315.0","4941.0","22078.0","11198.0","10880.0","6042.0","3085.0","2957.0","26796.0","13902.0","12894.0","22052.0","11246.0","10806.0","70219.0","35980.0","34239.0","50428.0","25898.0","24530.0","13745.0","7100.0","6645.0","29451.0","15081.0","14371.0","64075.0","32787.0","31288.0","16273.0","8355.0","7918.0","5853.0","3002.0","2851.0","20811.0","10732.0","10079.0","3175.0","1638.0","1537.0","1108.0","550.0","558.0","1004.0","541.0","463.0",
   1 de Enero de 2005,"475809.0","244217.0","231592.0","99475.0","50975.0","48500.0","12357.0","6301.0","6055.0","10386.0","5410.0","4976.0","10077.0","5154.0","4923.0","22154.0","11297.0","10857.0","5770.0","3004.0","2765.0","25634.0","13203.0","12430.0","22404.0","11518.0","10886.0","68148.0","34809.0","33340.0","49749.0","25547.0","24202.0","13812.0","7166.0","6646.0","27688.0","14113.0","13574.0","61630.0","31487.0","30143.0","15870.0","8261.0","7609.0","5752.0","3021.0","2731.0","19977.0","10400.0","9577.0","2970.0","1546.0","1424.0","999.0","526.0","474.0","957.0","479.0","478.0",
   1 de Enero de 2006,"470526.0","242038.0","228488.0","98606.0","50696.0","47910.0","12209.0","6168.0","6041.0","9666.0","4977.0","4689.0","10174.0","5146.0","5028.0","22273.0","11380.0","10893.0","5528.0","2841.0","2687.0","24727.0","12582.0","12145.0","22726.0","11667.0","11059.0","67910.0","35193.0","32717.0","49427.0","25604.0","23823.0","13858.0","7202.0","6656.0","27081.0","13892.0","13189.0","60804.0","31129.0","29675.0","16198.0","8379.0","7819.0","5528.0","2868.0","2660.0","18922.0","9781.0","9141.0","2976.0","1548.0","1428.0","987.0","497.0","490.0","927.0","488.0","439.0",
   1 de Enero de 2007,"471564.0","242491.0","229073.0","98054.0","50515.0","47539.0","12528.0","6400.0","6128.0","8949.0","4610.0","4339.0","10394.0","5341.0","5053.0","22912.0","11668.0","11243.0","5470.0","2787.0","2683.0","24187.0","12576.0","11611.0","23090.0","11958.0","11133.0","68828.0","35313.0","33514.0","50311.0","25886.0","24425.0","13808.0","7117.0","6691.0","26356.0","13468.0","12887.0","60589.0","31076.0","29513.0","16331.0","8483.0","7849.0","5928.0","3086.0","2842.0","18702.0","9566.0","9136.0","3081.0","1577.0","1504.0","1077.0","549.0","528.0","970.0","515.0","455.0",
